PI name,SMILES-Polymer,Tg(℃),Measurement methods
"polyetherimide:{[4,4'-(1,3-phenylenedioxy)dianiline]-alt-[5,5'-(m-phenylenedioxy)bis(isobenzofuran-1,3-dione)]}",*c1ccc(cc1)Oc1cccc(c1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)Oc1cccc(c1)Oc1ccc2c(c1)C(=O)N(C2=O)*,188.0,DSC
"poly{[3,3'-(1,1,2,2,3,3-hexafluoropropane-1,2-diyl)dianiline]-alt-[4,4'-(1,1,2,2,3,3-hexafluoropropane-1,2-diyl)bis(phthalic anhydride)]}",*c1ccc2c(c1)C(=O)N(C2=O)c1cccc(c1)C(C(C(c1cccc(c1)N1C(=O)c2c(C1=O)cc(cc2)C(C(C(F)(F)*)(F)F)(F)F)(F)F)(F)F)(F)F,157.0,DSC
"poly{[3,3'-(decafluoropentamethylene)dianiline]-alt-[4,4'-(hexafluorotrimethyl)enebis(phthalic anhydride)]}",*c1ccc2c(c1)C(=O)N(C2=O)c1cccc(c1)C(C(C(C(C(c1cccc(c1)N1C(=O)c2c(C1=O)cc(cc2)C(C(C(F)(F)*)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,111.0,DSC
"poly{[3,3'-(1,1,2,2,3,3,4,4,5,5-decafluoropentane-1,5-diyl)dianiline]-alt-[4,4'-(1,1,2,2,3,3,4,4-octafluorobutane-1,4-diyl)bis(phthalic anhydride)]}",*c1ccc2c(c1)C(=O)N(C2=O)c1cccc(c1)C(C(C(C(C(c1cccc(c1)N1C(=O)c2c(C1=O)cc(cc2)C(C(C(C(F)(F)*)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,144.0,DSC
"poly{[3,3'-(1,1,2,2,3,3-hexafluoropropane-1,3-diyl)dianiline]-alt-[4,4'-(1,1,2,2,3,3,4,4-octafluorobutane-1,4-diyl)bis(phthalic anhydride)]}",*c1ccc2c(c1)C(=O)N(C2=O)c1cccc(c1)C(C(C(c1cccc(c1)N1C(=O)c2c(C1=O)cc(cc2)C(C(C(C(F)(F)*)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,159.0,DSC
"poly{[3,3'-(1,1,2,2,3,3,4,4,5,5-decafluoropentane-1,5-diyl)dianiline]-alt-[4,4'-(1,1,2,2,3,3,4,4,5,5,6,6,7,7-tetradecafluoroheptane-1,7-diyl)bis(phthalic anhydride)]}",*c1ccc2c(c1)C(=O)N(C2=O)c1cccc(c1)C(C(C(C(C(c1cccc(c1)N1C(=O)c2c(C1=O)cc(cc2)C(C(C(C(C(C(C(F)(F)*)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,108.0,DSC
"poly{[3,3'-(1,1,2,2,3,3-hexafluoropropane-1,3-diyl)dianiline]-alt-[4,4'-(1,1,2,2,3,3,4,4,5,5,6,6,7,7-tetradecafluoroheptane-1,7-diyl)bis(phthalic anhydride)]}",*c1ccc2c(c1)C(=O)N(C2=O)c1cccc(c1)C(C(C(c1cccc(c1)N1C(=O)c2c(C1=O)cc(cc2)C(C(C(C(C(C(C(F)(F)*)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,133.0,DSC
"poly{(4,4'-diaminodiphenyl ether)-alt-[4,4'-(dedecafluorotrimethylene)bis(phthalic anhydride)]}",*c1ccc2c(c1)C(=O)N(C2=O)c1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)C(C(C(C(C(C(F)(F)*)(F)F)(F)F)(F)F)(F)F)(F)F,185.0,DSC
"poly{(3,3'-oxydianiline)-alt-[4,4'-(1,1,2,2,3,3-hexafluoropropane-1,3-diyl)bis(phthalic anhydride)]}",*c1ccc2c(c1)C(=O)N(C2=O)c1cccc(c1)Oc1cccc(c1)N1C(=O)c2c(C1=O)cc(cc2)C(C(C(F)(F)*)(F)F)(F)F,178.0,DSC
"poly{(4,4'-oxydianiline)-alt-[3,3'-hexafluorotrimethylenebis(phthalic anhydride)]}",*c1ccc2c(c1)C(=O)N(C2=O)c1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)C(C(C(F)(F)*)(F)F)(F)F,222.0,DSC
"poly{(4,4'-diaminodiphenyl ether)-alt-[4,4'-(hexadecafluorotrimethylene)bis(phthalic anhydride)]}",*C(C(C(C(C(C(C(C(c1ccc2c(c1)C(=O)N(C2=O)c1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)*)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,186.0,DSC
"poly{(4,4'-diaminodiphenyl ether)-alt-[4,4'-(octafluorotrimethylene)bis(phthalic anhydride)]}",*c1ccc2c(c1)C(=O)N(C2=O)c1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)C(C(C(C(F)(F)*)(F)F)(F)F)(F)F,212.0,DSC
"poly{(3,3'-oxydianiline)-alt-[4,4'-(1,1,2,2,3,3,4,4,5,5,6,6,7,7-tetradecafluoroheptane-1,7-diyl)bis(phthalic anhydride)]}",*c1ccc2c(c1)C(=O)N(C2=O)c1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)C(C(C(C(C(C(C(F)(F)*)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,178.0,DSC
"poly{(4,4'-sulfonyldianiline)-alt-[4,4'-(1,1,2,2,3,3-hexafluoropropane-1,3-diyl)bis(phthalic anhydride)]}",*c1ccc2c(c1)C(=O)N(C2=O)c1ccc(cc1)S(=O)(=O)c1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)C(C(C(F)(F)*)(F)F)(F)F,259.0,DSC
"poly{[3,3'-(1,1,2,2,3,3,4,4,5,5-decafluoropentane-1,5-diyl)dianiline]-alt-[4,4'-oxybis(phthalic anhydride)]}",*c1cccc(c1)C(C(C(C(C(c1cccc(c1)N1C(=O)c2c(C1=O)cc(cc2)Oc1ccc2c(c1)C(=O)N(C2=O)*)(F)F)(F)F)(F)F)(F)F)(F)F,157.0,DSC
"poly{[3,3'-(1,1,2,2,3,3-hexafluoropropane-1,3-diyl)dianiline]-alt-[4,4'-oxybis(phthalic anhydride)]}",*c1cccc(c1)C(C(C(c1cccc(c1)N1C(=O)c2c(C1=O)cc(cc2)Oc1ccc2c(c1)C(=O)N(C2=O)*)(F)F)(F)F)(F)F,183.0,DSC
"poly{(3,3'-oxydianiline)-alt-[4,4'-oxybis(phthalic anhydride)]}",*c1cccc(c1)Oc1cccc(c1)N1C(=O)c2c(C1=O)ccc(c2)Oc1ccc2c(c1)C(=O)N(C2=O)*,207.0,DSC
"poly(1,4-phenyleneoxy-1,4-phenyleneisophthaloyl-1,4-phenyleneoxy-1,4-phenylene pyromellitimide)",*c1ccc(cc1)Oc1ccc(cc1)C(=O)c1cccc(c1)C(=O)c1ccc(cc1)Oc1ccc(cc1)n1c(=O)c2c(c1=O)cc1c(c2)c(=O)n(c1=O)*,247.0,DSC
"poly{[4,4'-(biphenyl-4,4'-diyldioxy)dianiline]-alt-(pyromellitic anhydride)}",*c1ccc(cc1)Oc1ccc(cc1)c1ccc(cc1)Oc1ccc(cc1)n1c(=O)c2c(c1=O)cc1c(c2)c(=O)n(c1=O)*,300.0,DSC
"poly(1,3-phenyleneoxy-1,4-phenylenesulfonyl-1,4-phenyleneoxy-1,3-phenylene pyromellitimide)",*c1cccc(c1)Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)Oc1cccc(c1)n1c(=O)c2c(c1=O)cc1c(c2)c(=O)n(c1=O)*,193.3,DSC
"poly(1,4-phenyleneoxy-1,4-phenylenehexafluoroisopropylidene-1,4-phenyleneoxy-1,4-phenylene pyromellitimide)",*c1ccc(cc1)Oc1ccc(cc1)C(C(F)(F)F)(C(F)(F)F)c1ccc(cc1)Oc1ccc(cc1)n1c(=O)c2c(c1=O)cc1c(c2)c(=O)n(c1=O)*,310.0,DSC
"poly[(4,4'-methylenedianiline)-alt-(biphenyl-3,3':4,4'-tetracarboxylic dianhydride)]",*c1ccc(cc1)Cc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)c1ccc2c(c1)C(=O)N(C2=O)*,296.0,DSC
"poly({4,4'-[2,2,2-trifluoro-1-(trifluoromethyl)ethane-1,1-diylbis(4,1-phenyleneoxy)]dianiline}-alt-(biphenyl-3,3':4,4'-tetracarboxylic dianhydride))",FC(C(C(F)(F)F)(c1ccc(cc1)Oc1ccc(cc1)*)c1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)c1ccc2c(c1)C(=O)N(C2=O)*)(F)F,265.2,DSC
"poly({4,4'-[terephthaloylbis(4,1-phenyleneoxy)]dianiline}-alt-(biphenyl-3,3':4,4'-tetracarboxylic dianhydride)]",*c1ccc(cc1)Oc1ccc(cc1)C(=O)c1ccc(cc1)C(=O)c1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)c1ccc2c(c1)C(=O)N(C2=O)*,245.0,DSC
"poly({4,4'-[isophthaloylbis(4,1-phenyleneoxy)]dianiline}-alt-(biphenyl-3,3':4,4'-tetracarboxylic dianhydride)]",*c1ccc(cc1)Oc1ccc(cc1)C(=O)c1cccc(c1)C(=O)c1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)c1ccc2c(c1)C(=O)N(C2=O)*,222.0,DSC
" poly{(hexane-1,6-diamine)-alt-[4,4'-oxybis(phthalic anhydride)]}",*CCCCCCN1C(=O)c2c(C1=O)cc(cc2)Oc1ccc2c(c1)C(=O)N(C2=O)*,118.0,DSC
"poly{(octane-1,8-diamine)-alt-[4,4'-oxybis(phthalic anhydride)]}",*CCCCCCCCN1C(=O)c2c(C1=O)ccc(c2)Oc1ccc2c(c1)C(=O)N(C2=O)*,100.0,DSC
"poly{(1,4-phenylenediamine)-alt-[4,4'-oxybis(phthalic anhydride)]}",*c1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)Oc1ccc2c(c1)C(=O)N(C2=O)*,311.0,DSC
"poly{(biphenyl-4,4'-diamine)-alt-[4,4'-oxybis(phthalic anhydride)]}",*c1ccc(cc1)c1ccc(cc1)N1C(=O)c2c(C1=O)ccc(c2)Oc1ccc2c(c1)C(=O)N(C2=O)*,286.0,DSC
"poly(1,4-phenyleneoxy-1,4-phenyleneisophthaloyl-1,4-phenyleneoxy-1,4-phenylene 3,3',4,4'-oxydiphenylenetetracarboxydiimide)",*c1ccc(cc1)Oc1ccc(cc1)C(=O)c1cccc(c1)C(=O)c1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)Oc1ccc2c(c1)C(=O)N(C2=O)*,208.0,DSC
"poly({4,4'-[1,3-phenylenebis(carbonyl-4,1-phenyleneoxy-4,1-phenylene)]dianiline}-alt-{5,5'-[2,2,2-trifluoro-1-(trifluoromethyl)ethane-1,1-diyl]bis(isobenzofuran-1,3-dione)})",*c1ccc2c(c1)C(=O)N(C2=O)c1ccc(cc1)Oc1ccc(cc1)C(=O)c1cccc(c1)C(=O)c1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)C(C(F)(F)F)(C(F)(F)F)*,236.0,DSC
"poly(1,3-phenylenecarbonylimino-1,3-phenylene 3,3',4,4'-benzophenonetetracarboxydiimide)",*c1ccc2c(c1)C(=O)N(C2=O)c1cccc(c1)NC(=O)c1cccc(c1)N1C(=O)c2c(C1=O)cc(cc2)C(=O)*,287.0,DSC
"poly(1,3-phenylenecarbonylimino-1,4-phenylene 3,3',4,4'-benzophenonetetracarboxydiimide)",*c1ccc2c(c1)C(=O)N(C2=O)c1ccc(cc1)NC(=O)c1cccc(c1)N1C(=O)c2c(C1=O)cc(cc2)C(=O)*,306.0,DSC
"poly(1,4-phenylenecarbonylimino-1,3-phenylene 3,3',4,4'-benzophenonetetracarboxydiimide)",*c1ccc2c(c1)C(=O)N(C2=O)c1cccc(c1)NC(=O)c1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)C(=O)*,309.0,DSC
"poly[1,3-phenylenecarbonyl(methylimino)-1,4-phenylene 3,3',4,4'-benzophenonetetracarboxydiimide]",*c1ccc2c(c1)C(=O)N(C2=O)c1ccc(cc1)N(C(=O)c1cccc(c1)N1C(=O)c2c(C1=O)cc(cc2)C(=O)*)C,255.0,DSC
