smiles_1,smiles_2,mol_%_1,mol_%_2,Tg,Tg_predicted_mean,Tg_predicted_std
*N1C(=O)C2=CC(=CC=C2C1=O)OC3=CC=C(C=C3)C(C)(C)C4=CC=C(C=C4)OC(=CC=C6(C7(=O)))C=C6C(=O)N7C8=CC=C(C=C8)CC(C=C9)=CC=C9*,*N1C(=O)C2=CC(=CC=C2C1=O)C(=O)C(=CC=C3(C4(=O)))C=C3C(=O)N4C5=CC=C(C=C5)CC(C=C6)=CC=C6*,100,0,195,227.086545793398,24.82284896464077
*N1C(=O)C2=CC(=CC=C2C1=O)OC3=CC=C(C=C3)C(C)(C)C4=CC=C(C=C4)OC(=CC=C6(C7(=O)))C=C6C(=O)N7C8=CC=C(C=C8)CC(C=C9)=CC=C9*,*N1C(=O)C2=CC(=CC=C2C1=O)C(=O)C(=CC=C3(C4(=O)))C=C3C(=O)N4C5=CC=C(C=C5)CC(C=C6)=CC=C6*,90,10,205,231.0445030062077,24.43591890837109
*N1C(=O)C2=CC(=CC=C2C1=O)OC3=CC=C(C=C3)C(C)(C)C4=CC=C(C=C4)OC(=CC=C6(C7(=O)))C=C6C(=O)N7C8=CC=C(C=C8)CC(C=C9)=CC=C9*,*N1C(=O)C2=CC(=CC=C2C1=O)C(=O)C(=CC=C3(C4(=O)))C=C3C(=O)N4C5=CC=C(C=C5)CC(C=C6)=CC=C6*,80,20,219,240.78182040123488,23.07880186673578
*N1C(=O)C2=CC(=CC=C2C1=O)OC3=CC=C(C=C3)C(C)(C)C4=CC=C(C=C4)OC(=CC=C6(C7(=O)))C=C6C(=O)N7C8=CC=C(C=C8)CC(C=C9)=CC=C9*,*N1C(=O)C2=CC(=CC=C2C1=O)C(=O)C(=CC=C3(C4(=O)))C=C3C(=O)N4C5=CC=C(C=C5)CC(C=C6)=CC=C6*,70,30,226,243.14301832062168,23.252455911187266
*N1C(=O)C2=CC(=CC=C2C1=O)OC3=CC=C(C=C3)C(C)(C)C4=CC=C(C=C4)OC(=CC=C6(C7(=O)))C=C6C(=O)N7C8=CC=C(C=C8)CC(C=C9)=CC=C9*,*N1C(=O)C2=CC(=CC=C2C1=O)C(=O)C(=CC=C3(C4(=O)))C=C3C(=O)N4C5=CC=C(C=C5)CC(C=C6)=CC=C6*,60,40,234,247.5067293058964,23.43554536197263
*N1C(=O)C2=CC(=CC=C2C1=O)OC3=CC=C(C=C3)C(C)(C)C4=CC=C(C=C4)OC(=CC=C6(C7(=O)))C=C6C(=O)N7C8=CC=C(C=C8)CC(C=C9)=CC=C9*,*N1C(=O)C2=CC(=CC=C2C1=O)C(=O)C(=CC=C3(C4(=O)))C=C3C(=O)N4C5=CC=C(C=C5)CC(C=C6)=CC=C6*,50,50,241,250.7236146780156,23.759027549566778
*N1C(=O)C2=CC(=CC=C2C1=O)OC3=CC=C(C=C3)C(C)(C)C4=CC=C(C=C4)OC(=CC=C6(C7(=O)))C=C6C(=O)N7C8=CC=C(C=C8)CC(C=C9)=CC=C9*,*N1C(=O)C2=CC(=CC=C2C1=O)C(=O)C(=CC=C3(C4(=O)))C=C3C(=O)N4C5=CC=C(C=C5)CC(C=C6)=CC=C6*,40,60,248,250.3476865912976,23.73779137187405
*N1C(=O)C2=CC(=CC=C2C1=O)OC3=CC=C(C=C3)C(C)(C)C4=CC=C(C=C4)OC(=CC=C6(C7(=O)))C=C6C(=O)N7C8=CC=C(C=C8)CC(C=C9)=CC=C9*,*N1C(=O)C2=CC(=CC=C2C1=O)C(=O)C(=CC=C3(C4(=O)))C=C3C(=O)N4C5=CC=C(C=C5)CC(C=C6)=CC=C6*,30,70,262,251.96279102194023,23.27445620843836
*N1C(=O)C2=CC(=CC=C2C1=O)OC3=CC=C(C=C3)C(C)(C)C4=CC=C(C=C4)OC(=CC=C6(C7(=O)))C=C6C(=O)N7C8=CC=C(C=C8)CC(C=C9)=CC=C9*,*N1C(=O)C2=CC(=CC=C2C1=O)C(=O)C(=CC=C3(C4(=O)))C=C3C(=O)N4C5=CC=C(C=C5)CC(C=C6)=CC=C6*,20,80,276,256.0834748691298,23.39490994092145
*N1C(=O)C2=CC(=CC=C2C1=O)OC3=CC=C(C=C3)C(C)(C)C4=CC=C(C=C4)OC(=CC=C6(C7(=O)))C=C6C(=O)N7C8=CC=C(C=C8)CC(C=C9)=CC=C9*,*N1C(=O)C2=CC(=CC=C2C1=O)C(=O)C(=CC=C3(C4(=O)))C=C3C(=O)N4C5=CC=C(C=C5)CC(C=C6)=CC=C6*,0,100,285,272.6376466647319,25.98321954928918
*N1C(=O)C2=CC(=CC=C2C1=O)OC3=CC=C(C=C3)C(C)(C)C4=CC=C(C=C4)OC(=CC=C6(C7(=O)))C=C6C(=O)N7C8=CC=C(C=C8)CC(C=C9)=CC=C9*,*N1C(=O)C2=CC(=C3C=C2C1=O)C(=O)N(C3(=O))C4=CC=C(C=C4)CC(C=C5)=CC=C5*,100,0,195,228.5654492921254,24.484098124277992
*N1C(=O)C2=CC(=CC=C2C1=O)OC3=CC=C(C=C3)C(C)(C)C4=CC=C(C=C4)OC(=CC=C6(C7(=O)))C=C6C(=O)N7C8=CC=C(C=C8)CC(C=C9)=CC=C9*,*N1C(=O)C2=CC(=C3C=C2C1=O)C(=O)N(C3(=O))C4=CC=C(C=C4)CC(C=C5)=CC=C5*,90,10,210,237.71742566195664,23.901358120396797
*N1C(=O)C2=CC(=CC=C2C1=O)OC3=CC=C(C=C3)C(C)(C)C4=CC=C(C=C4)OC(=CC=C6(C7(=O)))C=C6C(=O)N7C8=CC=C(C=C8)CC(C=C9)=CC=C9*,*N1C(=O)C2=CC(=C3C=C2C1=O)C(=O)N(C3(=O))C4=CC=C(C=C4)CC(C=C5)=CC=C5*,80,20,224,249.52650214152743,23.23140643702149
*N1C(=O)C2=CC(=CC=C2C1=O)OC3=CC=C(C=C3)C(C)(C)C4=CC=C(C=C4)OC(=CC=C6(C7(=O)))C=C6C(=O)N7C8=CC=C(C=C8)CC(C=C9)=CC=C9*,*N1C(=O)C2=CC(=C3C=C2C1=O)C(=O)N(C3(=O))C4=CC=C(C=C4)CC(C=C5)=CC=C5*,70,30,235,259.5375521756607,24.134718491587016
*N1C(=O)C2=CC(=CC=C2C1=O)OC3=CC=C(C=C3)C(C)(C)C4=CC=C(C=C4)OC(=CC=C6(C7(=O)))C=C6C(=O)N7C8=CC=C(C=C8)CC(C=C9)=CC=C9*,*N1C(=O)C2=CC(=C3C=C2C1=O)C(=O)N(C3(=O))C4=CC=C(C=C4)CC(C=C5)=CC=C5*,60,40,250,269.45210769899865,25.83583948336365
*N1C(=O)C2=CC(=CC=C2C1=O)OC3=CC=C(C=C3)C(C)(C)C4=CC=C(C=C4)OC(=CC=C6(C7(=O)))C=C6C(=O)N7C8=CC=C(C=C8)CC(C=C9)=CC=C9*,*N1C(=O)C2=CC(=C3C=C2C1=O)C(=O)N(C3(=O))C4=CC=C(C=C4)CC(C=C5)=CC=C5*,50,50,257,280.87511146931405,27.49299019575308
*N1C(=O)C2=CC(=CC=C2C1=O)OC3=CC=C(C=C3)C(C)(C)C4=CC=C(C=C4)OC(=CC=C6(C7(=O)))C=C6C(=O)N7C8=CC=C(C=C8)CC(C=C9)=CC=C9*,*N1C(=O)C2=CC(=C3C=C2C1=O)C(=O)N(C3(=O))C4=CC=C(C=C4)CC(C=C5)=CC=C5*,40,60,258,291.76128982899587,28.74119878493658
*N1C(=O)C2=CC(=CC=C2C1=O)OC3=CC=C(C=C3)C(C)(C)C4=CC=C(C=C4)OC(=CC=C6(C7(=O)))C=C6C(=O)N7C8=CC=C(C=C8)CC(C=C9)=CC=C9*,*N1C(=O)C2=CC(=C3C=C2C1=O)C(=O)N(C3(=O))C4=CC=C(C=C4)CC(C=C5)=CC=C5*,30,70,256,302.7500504875354,29.75898220342772
*N1C(=O)C2=CC(=CC=C2C1=O)OC3=CC=C(C=C3)C(C)(C)C4=CC=C(C=C4)OC(=CC=C6(C7(=O)))C=C6C(=O)N7C8=CC=C(C=C8)CC(C=C9)=CC=C9*,*N1C(=O)C2=CC(=C3C=C2C1=O)C(=O)N(C3(=O))C4=CC=C(C=C4)CC(C=C5)=CC=C5*,20,80,259,314.20466223649777,30.662559102776992
*N1C(=O)C2=CC(=CC=C2C1=O)OC3=CC=C(C=C3)C(C)(C)C4=CC=C(C=C4)OC(=CC=C6(C7(=O)))C=C6C(=O)N7C8=CC=C(C=C8)CC(C=C9)=CC=C9*,*N1C(=O)C2=CC(=C3C=C2C1=O)C(=O)N(C3(=O))C4=CC=C(C=C4)CC(C=C5)=CC=C5*,0,100,350,339.59028445465174,31.95968956270737
*N1C(=O)C2=CC(=CC=C2C1=O)OC3=CC=C(C=C3)C(C)(C)C4=CC=C(C=C4)OC(=CC=C6(C7(=O)))C=C6C(=O)N7C8=CC=C(C=C8)CC(C=C9)=CC=C9*,*N1C(=O)C2=CC(=CC=C2C1=O)OC(=CC=C3(C4(=O)))C=C3C(=O)N4C5=CC=C(C=C5)CC(C=C6)=CC=C6*,80,20,211,237.11246943024483,23.50904106420541
*N1C(=O)C2=CC(=CC=C2C1=O)OC3=CC=C(C=C3)C(C)(C)C4=CC=C(C=C4)OC(=CC=C6(C7(=O)))C=C6C(=O)N7C8=CC=C(C=C8)CC(C=C9)=CC=C9*,*N1C(=O)C2=CC(=CC=C2C1=O)C(=CC=C3(C4(=O)))C=C3C(=O)N4C5=CC=C(C=C5)CC(C=C6)=CC=C6*,80,20,228,240.10450872192845,23.660686576299945
