name,smiles_1,smiles_2,mol_%_1,mol_%_2,Tg,Tg_predicted_mean,Tg_predicted_std
PEI 0,*N1C(=O)C2=CC(=CC=C2C1=O)OC3=CC=C(C=C3)C(C)(C)C4=CC=C(C=C4)OC(=CC=C6(C7(=O)))C=C6C(=O)N7c8cccc(*)c8,*N1C(=O)C2=CC(=C3C=C2C1=O)C(=O)N(C3(=O))c4cccc(*)c4,100,0,217.1,239.9555226308937,21.038417845726023
PEI P 10%,*N1C(=O)C2=CC(=CC=C2C1=O)OC3=CC=C(C=C3)C(C)(C)C4=CC=C(C=C4)OC(=CC=C6(C7(=O)))C=C6C(=O)N7c8cccc(*)c8,*N1C(=O)C2=CC(=C3C=C2C1=O)C(=O)N(C3(=O))c4cccc(*)c4,90,10,226.4,248.2477108763271,21.6294116195457
PEI P 20%,*N1C(=O)C2=CC(=CC=C2C1=O)OC3=CC=C(C=C3)C(C)(C)C4=CC=C(C=C4)OC(=CC=C6(C7(=O)))C=C6C(=O)N7c8cccc(*)c8,*N1C(=O)C2=CC(=C3C=C2C1=O)C(=O)N(C3(=O))c4cccc(*)c4,80,20,232.6,257.4524675227945,24.03849213549048
PEI P 30%,*N1C(=O)C2=CC(=CC=C2C1=O)OC3=CC=C(C=C3)C(C)(C)C4=CC=C(C=C4)OC(=CC=C6(C7(=O)))C=C6C(=O)N7c8cccc(*)c8,*N1C(=O)C2=CC(=C3C=C2C1=O)C(=O)N(C3(=O))c4cccc(*)c4,70,30,242.6,266.5305246790528,25.10254248682675
PEI B 10%,*N1C(=O)C2=CC(=CC=C2C1=O)OC3=CC=C(C=C3)C(C)(C)C4=CC=C(C=C4)OC(=CC=C6(C7(=O)))C=C6C(=O)N7c8cccc(*)c8,*N1C(=O)C2=CC(=CC=C2C1=O)C(=O)C(=CC=C3(C4(=O)))C=C3C(=O)N4c5cccc(*)c5,90,10,222.7,240.7190906804383,21.76753620342357
PEI B 20%,*N1C(=O)C2=CC(=CC=C2C1=O)OC3=CC=C(C=C3)C(C)(C)C4=CC=C(C=C4)OC(=CC=C6(C7(=O)))C=C6C(=O)N7c8cccc(*)c8,*N1C(=O)C2=CC(=CC=C2C1=O)C(=O)C(=CC=C3(C4(=O)))C=C3C(=O)N4c5cccc(*)c5,80,20,231.0,240.5797381145879,23.21336050910191
PEI B 30%,*N1C(=O)C2=CC(=CC=C2C1=O)OC3=CC=C(C=C3)C(C)(C)C4=CC=C(C=C4)OC(=CC=C6(C7(=O)))C=C6C(=O)N7c8cccc(*)c8,*N1C(=O)C2=CC(=CC=C2C1=O)C(=O)C(=CC=C3(C4(=O)))C=C3C(=O)N4c5cccc(*)c5,70,30,235.3,240.3405190239831,24.11216566189263
PEI D 10%,*N1C(=O)C2=CC(=CC=C2C1=O)OC3=CC=C(C=C3)C(C)(C)C4=CC=C(C=C4)OC(=CC=C6(C7(=O)))C=C6C(=O)N7c8cccc(*)c8,*N1C(=O)C2=CC(=CC=C2C1=O)C(=CC=C3(C4(=O)))C=C3C(=O)N4c5cccc(*)c5,90,10,226.2,244.1182663335295,22.41442635718203
PEI D 20%,*N1C(=O)C2=CC(=CC=C2C1=O)OC3=CC=C(C=C3)C(C)(C)C4=CC=C(C=C4)OC(=CC=C6(C7(=O)))C=C6C(=O)N7c8cccc(*)c8,*N1C(=O)C2=CC(=CC=C2C1=O)C(=CC=C3(C4(=O)))C=C3C(=O)N4c5cccc(*)c5,80,20,237.8,248.1570622870465,22.26821661062306
PEI D 30%,*N1C(=O)C2=CC(=CC=C2C1=O)OC3=CC=C(C=C3)C(C)(C)C4=CC=C(C=C4)OC(=CC=C6(C7(=O)))C=C6C(=O)N7c8cccc(*)c8,*N1C(=O)C2=CC(=CC=C2C1=O)C(=CC=C3(C4(=O)))C=C3C(=O)N4c5cccc(*)c5,70,30,246.6,253.0150843470188,23.50702474236339
PEI F 10%,*N1C(=O)C2=CC(=CC=C2C1=O)OC3=CC=C(C=C3)C(C)(C)C4=CC=C(C=C4)OC(=CC=C6(C7(=O)))C=C6C(=O)N7c8cccc(*)c8,*N1C(=O)C2=CC(=CC=C2C1=O)C(C(F)(F)(F))(C(F)(F)(F))C(=CC=C3(C4(=O)))C=C3C(=O)N4c5cccc(*)c5,90,10,223.6,242.5964156774333,22.85762588573945
PEI F 20%,*N1C(=O)C2=CC(=CC=C2C1=O)OC3=CC=C(C=C3)C(C)(C)C4=CC=C(C=C4)OC(=CC=C6(C7(=O)))C=C6C(=O)N7c8cccc(*)c8,*N1C(=O)C2=CC(=CC=C2C1=O)C(C(F)(F)(F))(C(F)(F)(F))C(=CC=C3(C4(=O)))C=C3C(=O)N4c5cccc(*)c5,80,20,229.0,245.8032047352787,23.75246053410324
PEI F 30%,*N1C(=O)C2=CC(=CC=C2C1=O)OC3=CC=C(C=C3)C(C)(C)C4=CC=C(C=C4)OC(=CC=C6(C7(=O)))C=C6C(=O)N7c8cccc(*)c8,*N1C(=O)C2=CC(=CC=C2C1=O)C(C(F)(F)(F))(C(F)(F)(F))C(=CC=C3(C4(=O)))C=C3C(=O)N4c5cccc(*)c5,70,30,235.0,249.7329540489466,23.81116435198181
